article	самодостаточный, полный блок текста

aside	блок текста, косвенно связанный с темой страницы

figure, img, figcaption	figure - блочный элемент из картинки(img) и его описания( figcaption)

header, footer	колонтитулы; содержат +/- статичную информацию

hgroup	бета-версия! изолятор разделов, так внутри разных <hgroup></hgroup> хранятся разные иерархии заголовков(h1-h6)

nav	блок навигации; может содержать якоря или меню сайта

section	композиционный элемент статьи, имеющий собственный смысл, в рамках основной темы.

section, article	Если контент, будучи отделённым, продолжает быть смысловой еденицей, то лучше использовать article

details, summary	теги спойлера; самари - заголовок; то что кроме - содержимое


синтаксис details 	<details>  <summary>clickbait</summary>  nothing major </details>

main	главный смысловой(article?) блок страницы

mark	тег семантического выделения, определяет тезисы приложений подтвеждающие генеральную линию

time	парный тег, в содержимом своём содержит описание времени для юзеров, в аттрибуте datetime - оцифровываемое по стандарту

wbr	WordBReak, одинарный, разрешение для переноса разрывом слова, внутри тега

запись wbr 	<wbr />


[2]

input	тег ввода данных, заслуживает отдельного курса gb

datalist, option	парный тег, содержит коллекцию парных тегов option. Содержимое тегов option - варианты выбора...

где отражены options из datalist	<input list="datalist_id">

аттрибут имени <input list>	<input name="my_list_name" list="datalist_id">

синтаксис заголовка <input list="#">	<label for="my_list_name"> visible name!</label>

обязательный, связующий аттрибут datalist	 id; <datalist id="datalist_id">

синтаксис option	<option value="element_key">Element promotion</option>

keygen	формирует двусоставный ключ; публичная часть уходит на сервер, приватная остаётся у пользователя

meter, progress	теги-шкалы; meter - визуальное отображение доли(%, fr); progress - шкала выполнения процесса

menu, что там лежит	альтернатива ul; применяется для хранения интерактивных элементов

output	тег для вывода вычислений

audio, video	теги медиа-контента

source	тег ветвления источника для медиа-тегов, по предусловиям

track	дочерний тег медиа-тегов, субтитры

embed	(англ. вставлять), тег вложенных медиа 
